date,home_team,away_team,winner
1967-08-22,India,Taiwan,Taiwan
1971-11-14,South Korea,Vietnam Republic,South Korea
1972-05-07,South Korea,Iraq,Iraq
1972-05-17,Thailand,South Korea,South Korea
1972-05-19,Thailand,Cambodia,Thailand
1973-04-21,Senegal,Ghana,Ghana
1973-06-14,Guinea,Mali,Guinea
1973-06-14,Mauritius,Tanzania,Mauritius
1973-07-26,Malaysia,Kuwait,Malaysia
1973-07-26,Cambodia,Singapore,Singapore
1973-07-27,Bangladesh,Thailand,Thailand
1973-07-28,Myanmar,South Korea,Myanmar
1973-08-09,India,Vietnam Republic,Vietnam Republic
1973-08-23,Algeria,Syria,Syria
1973-08-25,Algeria,Iraq,Algeria
1974-03-28,Qatar,United Arab Emirates,Qatar
1974-07-24,Hong Kong,Indonesia,Indonesia
1974-08-01,India,Indonesia,Indonesia
1974-10-09,Syria,Morocco,Morocco
1974-11-22,Libya,Tunisia,Tunisia
1974-12-18,South Korea,Malaysia,South Korea
1975-07-13,Morocco,Ghana,Morocco
1975-11-09,Kenya,Malawi,Kenya
1975-12-23,Libya,Syria,Syria
1976-06-20,Czechoslovakia,Germany,Czechoslovakia
1976-12-22,South Korea,Malaysia,Malaysia
1977-01-09,Tunisia,Morocco,Tunisia
1977-03-22,Argentina,Iran,Argentina
1977-06-26,Zambia,Algeria,Zambia
1977-07-27,Iran,Morocco,Iran
1977-08-31,Paraguay,Argentina,Paraguay
1979-01-13,Guinea-Bissau,Mali,Mali
1979-01-14,Guinea-Bissau,Guinea,Guinea
1979-04-29,Cameroon,Guinea,Guinea
1979-05-22,Argentina,Netherlands,Argentina
1980-02-16,Gambia,Mauritania,Gambia
1980-03-19,Algeria,Egypt,Algeria
1980-06-21,Italy,Czechoslovakia,Czechoslovakia
1980-07-12,Nigeria,Tunisia,Nigeria
1980-11-30,Zambia,Morocco,Morocco
1980-12-31,Hong Kong,China PR,China PR
1981-02-13,Mali,Guinea,Guinea
1981-05-10,Rwanda,Ethiopia,Ethiopia
1982-02-21,Ivory Coast,Togo,Togo
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso
1982-03-19,Libya,Ghana,Ghana
1982-05-15,Thailand,Singapore,Thailand
1982-05-17,Thailand,South Korea,Thailand
1982-07-08,Germany,France,Germany
1982-10-17,Indonesia,Malaysia,Indonesia
1982-11-27,Uganda,Kenya,Kenya
1983-02-06,Senegal,Niger,Senegal
1983-02-20,Gambia,Sierra Leone,Gambia
1983-02-27,Mali,Guinea,Mali
1983-04-22,Egypt,Congo,Egypt
1983-04-24,Mauritius,Ethiopia,Ethiopia
1983-07-18,Hong Kong,Thailand,Thailand
1983-08-28,Morocco,Nigeria,Nigeria
1983-10-20,Brazil,Paraguay,Brazil
1983-12-15,Ivory Coast,Mali,Ivory Coast
1983-12-18,Mali,Nigeria,Mali
1984-02-16,Sierra Leone,Mali,Sierra Leone
1984-02-19,Sierra Leone,Senegal,Senegal
1984-03-14,Egypt,Nigeria,Nigeria
1984-03-14,Algeria,Cameroon,Cameroon
1984-03-28,Iraq,Qatar,Iraq
1984-06-24,Denmark,Spain,Spain
1984-07-15,Senegal,Angola,Angola
1984-11-23,Kenya,Somalia,Kenya
1984-11-28,Ghana,Togo,Ghana
1984-12-08,Kenya,Somalia,Kenya
1984-12-13,Saudi Arabia,Iran,Saudi Arabia
1984-12-15,Malawi,Zambia,Zambia
1984-12-16,Iran,Kuwait,Kuwait
1984-12-16,Chad,Equatorial Guinea,Chad
1984-12-19,Central African Republic,Gabon,Gabon
1984-12-20,Congo,Cameroon,Cameroon
1985-04-16,Mozambique,Malawi,Mozambique
1985-04-21,Madagascar,Egypt,Egypt
1985-07-10,Bahrain,Qatar,Bahrain
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia
1985-08-25,Mali,Guinea,Guinea
1985-09-15,Mozambique,Libya,Mozambique
1985-10-11,Kenya,Uganda,Kenya
1986-03-21,Egypt,Cameroon,Egypt
1986-06-21,Brazil,France,France
1986-06-21,Mexico,Germany,Germany
1986-06-22,Spain,Belgium,Belgium
1986-10-19,Gabon,Angola,Angola
1986-12-17,Chad,Gabon,Chad
1987-03-01,Mali,Sierra Leone,Mali
1987-03-02,Senegal,Sierra Leone,Senegal
1987-06-19,Australia,Egypt,Australia
1987-06-21,South Korea,Australia,South Korea
1987-07-19,DR Congo,Senegal,DR Congo
1987-12-13,Malawi,Zimbabwe,Zimbabwe
1987-12-18,Equatorial Guinea,Gabon,Gabon
1987-12-27,Ethiopia,Zimbabwe,Ethiopia
1988-01-06,South Korea,Egypt,South Korea
1988-03-23,Algeria,Nigeria,Nigeria
1988-03-26,Morocco,Algeria,Algeria
1988-03-31,Germany,Sweden,Sweden
1988-05-05,Mali,Senegal,Mali
1988-05-08,Guinea,Mali,Guinea
1988-05-28,Canada,Greece,Canada
1988-07-19,Egypt,Syria,Syria
1988-07-21,Iraq,Syria,Iraq
1988-09-29,Chile,Ecuador,Ecuador
1988-10-16,Eswatini,Tanzania,Eswatini
1988-12-06,Central African Republic,Gabon,Gabon
1988-12-17,China PR,Iran,Iran
1988-12-18,South Korea,Saudi Arabia,Saudi Arabia
1989-04-23,Ghana,Gabon,Gabon
1989-04-23,Kenya,Sudan,Kenya
1989-11-08,Iran,Uganda,Uganda
1989-11-12,Iraq,Uganda,Iraq
1989-12-11,Chad,Cameroon,Cameroon
1989-12-16,Malawi,Uganda,Uganda
1990-01-28,Nigeria,Senegal,Nigeria
1990-02-04,United States,Colombia,Colombia
1990-02-20,Colombia,Russia,Colombia
1990-05-18,Zimbabwe,Eswatini,Zimbabwe
1990-06-25,Republic of Ireland,Romania,Republic of Ireland
1990-06-30,Yugoslavia,Argentina,Argentina
1990-07-03,Italy,Argentina,Argentina
1990-07-04,Germany,England,Germany
1990-08-03,China PR,South Korea,South Korea
1990-12-17,Tanzania,Uganda,Uganda
1990-12-17,Central African Republic,Equatorial Guinea,Central African Republic
1991-01-21,Cameroon,Algeria,Cameroon
1991-01-21,Senegal,Ivory Coast,Ivory Coast
1991-01-22,Senegal,Algeria,Senegal
1991-01-23,Ivory Coast,Cameroon,Ivory Coast
1991-06-14,South Korea,Australia,South Korea
1991-06-16,Italy,Russia,Italy
1991-07-07,United States,Honduras,United States
1991-08-08,Czechoslovakia,Yugoslavia,Czechoslovakia
1991-09-20,Fiji,Solomon Islands,Fiji
1991-09-28,Egypt,Mali,Egypt
1992-01-23,Cameroon,Ivory Coast,Ivory Coast
1992-01-26,Ghana,Ivory Coast,Ivory Coast
1992-06-22,Netherlands,Denmark,Denmark
1992-06-27,Cuba,Martinique,Martinique
1992-08-29,Japan,South Korea,Japan
1992-09-15,Syria,Egypt,Egypt
1992-11-08,China PR,United Arab Emirates,China PR
1992-11-25,Uganda,Zambia,Uganda
1993-01-23,Japan,Switzerland,Switzerland
1993-02-20,Finland,Estonia,Finland
1993-02-24,Argentina,Denmark,Argentina
1993-05-27,Bolivia,Paraguay,Bolivia
1993-05-28,Martinique,Saint Kitts and Nevis,Martinique
1993-05-30,Jamaica,Martinique,Martinique
1993-06-26,Colombia,Uruguay,Colombia
1993-06-27,Brazil,Argentina,Argentina
1993-07-01,Colombia,Argentina,Argentina
1993-08-15,Australia,Canada,Australia
1993-10-24,Burundi,Guinea,Guinea
1994-01-29,Burkina Faso,Guinea,Burkina Faso
1994-04-06,Nigeria,Ivory Coast,Nigeria
1994-07-05,Mexico,Bulgaria,Bulgaria
1994-07-10,Romania,Sweden,Sweden
1994-07-17,Brazil,Italy,Brazil
1994-12-08,Tanzania,Uganda,Tanzania
1995-01-10,Denmark,Mexico,Denmark
1995-01-13,Mexico,Nigeria,Mexico
1995-02-26,Japan,South Korea,Japan
1995-03-31,India,Bangladesh,India
1995-05-21,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda
1995-06-09,Paraguay,Bolivia,Paraguay
1995-07-16,Paraguay,Colombia,Colombia
1995-07-17,United States,Mexico,United States
1995-07-17,Brazil,Argentina,Brazil
1995-07-23,Uruguay,Brazil,Uruguay
1995-08-24,Fiji,Solomon Islands,Solomon Islands
1995-11-28,Mauritania,Sierra Leone,Sierra Leone
1995-12-02,Gabon,Cameroon,Cameroon
1995-12-02,Algeria,Ivory Coast,Ivory Coast
1995-12-06,Ethiopia,Zanzibar,Zanzibar
1995-12-07,Honduras,Costa Rica,Honduras
1996-01-28,Gabon,Tunisia,Tunisia
1996-02-22,Japan,Sweden,Sweden
1996-04-28,Barbados,Jamaica,Jamaica
1996-05-05,Guyana,Suriname,Suriname
1996-06-05,Martinique,Suriname,Martinique
1996-06-22,England,Spain,England
1996-06-22,France,Netherlands,France
1996-06-26,France,Czech Republic,Czech Republic
1996-06-26,England,Germany,Germany
1996-08-25,Ethiopia,Uganda,Ethiopia
1996-11-29,Sudan,Kenya,Sudan
1996-12-11,Morocco,Croatia,Croatia
1996-12-12,Croatia,Czech Republic,Croatia
1996-12-19,Iran,Saudi Arabia,Saudi Arabia
1996-12-21,Iran,Kuwait,Iran
1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia
1996-12-27,Benin,Burkina Faso,Benin
1997-02-07,Russia,Serbia,Russia
1997-04-10,India,Iraq,Iraq
1997-06-22,Ecuador,Mexico,Mexico
1997-07-10,Trinidad and Tobago,Jamaica,Trinidad and Tobago
1997-10-20,Haiti,Cuba,Haiti
1997-10-22,Cuba,Cameroon,Cuba
1997-12-07,Gambia,Guinea,Guinea
1998-01-31,Egypt,South Korea,South Korea
1998-01-31,Iran,Chile,Iran
1998-02-21,Burkina Faso,Tunisia,Burkina Faso
1998-02-21,Ivory Coast,Egypt,Egypt
1998-02-27,Burkina Faso,DR Congo,DR Congo
1998-04-22,Hungary,North Macedonia,Hungary
1998-05-29,Belgium,England,Belgium
1998-05-29,Morocco,France,Morocco
1998-06-30,Argentina,England,Argentina
1998-07-03,France,Italy,France
1998-07-07,Brazil,Netherlands,Brazil
1998-09-05,Indonesia,Thailand,Indonesia
1998-11-17,Guatemala,Honduras,Guatemala
1998-11-18,Guatemala,Mexico,Guatemala
1998-12-02,United Arab Emirates,North Korea,United Arab Emirates
1999-05-22,Malawi,Namibia,Namibia
1999-06-16,Thailand,New Zealand,Thailand
1999-06-19,New Zealand,Poland,Poland
1999-07-10,Mexico,Peru,Mexico
1999-07-10,Paraguay,Uruguay,Uruguay
1999-07-13,Uruguay,Chile,Uruguay
1999-07-18,Eswatini,Zimbabwe,Eswatini
1999-07-31,Namibia,South Africa,Namibia
1999-08-03,Rwanda,Kenya,Kenya
1999-08-07,Rwanda,Burundi,Rwanda
1999-08-07,Zambia,Mozambique,Zambia
1999-08-28,Namibia,Eswatini,Namibia
1999-11-26,Gabon,Togo,Togo
2000-02-04,Romania,Georgia,Romania
2000-02-12,South Africa,Tunisia,South Africa
2000-02-13,Nigeria,Cameroon,Cameroon
2000-02-19,United States,Colombia,Colombia
2000-03-19,Suriname,Saint Lucia,Suriname
2000-04-29,British Virgin Islands,Sint Maarten,British Virgin Islands
2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda
2000-05-10,Maldives,Sri Lanka,Sri Lanka
2000-05-11,Senegal,Mali,Senegal
2000-05-20,Malawi,Angola,Angola
2000-05-21,Barbados,Cuba,Barbados
2000-06-04,France,Japan,France
2000-06-07,Iran,Egypt,Egypt
2000-06-11,Lesotho,Zambia,Lesotho
2000-06-29,Netherlands,Italy,Italy
2000-07-14,Libya,Chad,Libya
2000-07-16,Mozambique,Lesotho,Lesotho
2000-09-03,Togo,Sierra Leone,Togo
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates
2000-10-28,Kenya,Uganda,Uganda
2000-12-02,Ethiopia,Rwanda,Ethiopia
2001-01-17,China PR,Egypt,Egypt
2001-01-27,South Korea,Paraguay,South Korea
2001-02-11,Eswatini,Zambia,Eswatini
2001-07-12,Ynys Môn,Jersey,Ynys Môn
2001-07-13,Guernsey,Ynys Môn,Guernsey
2001-07-29,Uruguay,Honduras,Honduras
2001-08-03,China PR,North Korea,North Korea
2001-08-03,Kuwait,Trinidad and Tobago,Kuwait
2001-08-05,Kuwait,North Korea,North Korea
2001-08-18,Zambia,Angola,Angola
2001-10-24,Kenya,Uganda,Kenya
2001-10-24,Tanzania,DR Congo,Tanzania
2001-12-18,Ethiopia,Burundi,Ethiopia
2002-01-06,Martinique,Haiti,Martinique
2002-01-26,Canada,Martinique,Canada
2002-01-27,Mexico,South Korea,South Korea
2002-01-30,United States,Canada,United States
2002-02-10,Senegal,Cameroon,Cameroon
2002-02-12,Cyprus,Switzerland,Cyprus
2002-02-15,China PR,Slovenia,Slovenia
2002-02-16,Thailand,North Korea,North Korea
2002-03-30,Botswana,South Africa,South Africa
2002-05-17,Russia,Belarus,Belarus
2002-05-19,Russia,Serbia,Serbia
2002-06-16,Spain,Republic of Ireland,Spain
2002-06-22,South Korea,Spain,South Korea
2002-07-21,South Africa,Madagascar,South Africa
2002-09-05,Iraq,Iran,Iraq
2002-09-07,Syria,Iran,Iran
2002-09-17,Iran,Morocco,Iran
2002-09-19,Iran,Paraguay,Iran
2002-10-23,Kenya,South Africa,Kenya
